X	Y	CP	P
0	0	1.045250406	47447.67882
0.000131897	0.001370305	0.951161148	43176.62867
0.000777639	0.004138132	0.779058787	35364.28294
0.001919897	0.006826393	0.554112119	25153.14386
0.003548536	0.009432777	0.3259066	14794.07385
0.005674749	0.011979749	0.111853621	5077.438514
0.008287802	0.014453621	-0.070440046	-3197.527268
0.011387796	0.016856272	-0.219283096	-9954.049134
0.014974718	0.019187503	-0.341617662	-15507.25552
0.019048508	0.021446115	-0.44463256	-20183.47256
0.023588563	0.023621136	-0.530056665	-24061.18021
0.028615393	0.025721837	-0.598392325	-27163.18186
0.034098245	0.027734539	-0.656835787	-29816.14097
0.040047317	0.02966285	-0.707357933	-32109.52308
0.046452365	0.031502329	-0.750700195	-34076.98436
0.053303184	0.033249272	-0.788629242	-35798.72035
0.060599714	0.034902647	-0.823199193	-37367.9749
0.068331758	0.036458897	-0.854797401	-38802.3313
0.076489139	0.037914909	-0.883770428	-40117.52129
0.085071793	0.039269418	-0.909478188	-41284.48909
0.094059462	0.040518108	-0.93244897	-42327.21555
0.103452094	0.041659982	-0.95507262	-43354.18448
0.113239552	0.042692679	-0.976976628	-44348.48628
0.12340166	0.0436133	-0.997290925	-45270.62533
0.133948433	0.044421896	-1.015695135	-46106.05869
0.144849666	0.045115414	-1.031973159	-46844.97679
0.156095317	0.045693001	-1.047391321	-47544.86265
0.167685341	0.046154372	-1.063860477	-48292.45693
0.179609704	0.046498815	-1.080581982	-49051.50628
0.191848365	0.04672575	-1.094382773	-49677.97385
0.204391288	0.046835285	-1.107376679	-50267.81401
0.217218468	0.046827814	-1.120515871	-50864.24924
0.230329957	0.046704036	-1.132652583	-51415.17828
0.243705783	0.046464962	-1.14386241	-51924.03267
0.257335985	0.046111848	-1.15440088	-52402.41178
0.271210611	0.045646146	-1.16466498	-52868.33622
0.285299802	0.045070384	-1.174467581	-53313.3116
0.299603588	0.04438629	-1.183843144	-53738.90215
0.314112117	0.043596041	-1.19272014	-54141.86094
0.328795523	0.04270324	-1.201179889	-54525.87943
0.343643929	0.041710707	-1.209130162	-54886.77091
0.358657447	0.040620604	-1.216681086	-55229.53457
0.373806288	0.039437381	-1.223596095	-55543.4317
0.389070612	0.038165131	-1.230238388	-55844.94928
0.404450581	0.036806376	-1.236619944	-56134.6311
0.419926365	0.035365388	-1.242417829	-56397.81798
0.435478202	0.033846636	-1.247587408	-56632.48378
0.451086283	0.032254771	-1.252225347	-56843.01653
0.466750744	0.030592434	-1.256492157	-57036.70239
0.482441868	0.028865423	-1.260645762	-57225.24944
0.498149824	0.027077497	-1.264816688	-57414.58281
0.513864779	0.025232359	-1.269010364	-57604.94888
0.52955706	0.023336084	-1.273066479	-57789.07053
0.545226738	0.021391193	-1.276741987	-57955.91505
0.560844113	0.019403837	-1.280032229	-58105.27101
0.57640937	0.017376387	-1.282880833	-58234.5794
0.591892692	0.015315044	-1.2855152	-58354.16279
0.607284299	0.01322339	-1.288090591	-58471.06907
0.622564452	0.011106306	-1.290515994	-58581.16681
0.637723305	0.008967273	-1.292764938	-58683.25451
0.652750951	0.006809691	-1.294993832	-58784.432
0.667627702	0.004638316	-1.297268727	-58887.69767
0.682333756	0.002457932	-1.299557317	-58991.58501
0.696859257	0.000271829	-1.301812742	-59093.96687
