X	Y	CP	P
0.998629535	-0.052335956	0.455181618	101387.7297
0.998377994	-0.052359152	0.422648126	101383.2462
0.997623316	-0.052428676	0.370369091	101376.0415
0.996375587	-0.052543389	0.334659089	101371.1202
0.99462481	-0.052703868	0.304239393	101366.928
0.992370951	-0.05290963	0.278675828	101363.405
0.989624116	-0.053159141	0.255787048	101360.2507
0.98639442	-0.053450757	0.235434244	101357.4458
0.982661817	-0.053785434	0.216955804	101354.8992
0.978456462	-0.054159504	0.200096738	101352.5758
0.973758323	-0.054573688	0.184538499	101350.4317
0.968597681	-0.055024163	0.17008183	101348.4394
0.962954456	-0.055511444	0.156567304	101346.5769
0.956848802	-0.056032465	0.143882354	101344.8288
0.950280853	-0.056585835	0.131933932	101343.1821
0.943260696	-0.057169266	0.120631668	101341.6246
0.935798479	-0.057780444	0.109897697	101340.1453
0.927904352	-0.058417041	0.099679292	101338.7371
0.919568327	-0.059078313	0.089930218	101337.3935
0.910820633	-0.059760299	0.080612622	101336.1094
0.901651344	-0.060462206	0.071685885	101334.8792
0.89208062	-0.061180903	0.06311652	101333.6982
0.882118609	-0.061914064	0.054877115	101332.5628
0.871765335	-0.062660109	0.046948712	101331.4701
0.861041071	-0.063416009	0.039315795	101330.4182
0.849965965	-0.064178828	0.031951549	101329.4033
0.838520033	-0.06494839	0.024831109	101328.422
0.826743486	-0.065720441	0.017930622	101327.4711
0.814646463	-0.066492848	0.0112201	101326.5463
0.802219045	-0.067264721	0.004695987	101325.6472
0.789491431	-0.068032652	-0.001633911	101324.7748
0.7764737	-0.068794541	-0.007804881	101323.9244
0.763186046	-0.069547721	-0.013840474	101323.0926
0.749628607	-0.070290672	-0.019740634	101322.2795
0.735811465	-0.071021262	-0.025535718	101321.4809
0.721764746	-0.071736327	-0.03123321	101320.6957
0.707498707	-0.072433782	-0.036807513	101319.9275
0.693013375	-0.073111967	-0.04228467	101319.1726
0.678338937	-0.073767766	-0.047704506	101318.4257
0.663485532	-0.074399005	-0.053065791	101317.6869
0.648463306	-0.075003441	-0.058341939	101316.9598
0.633292455	-0.075578386	-0.063511678	101316.2473
0.617993053	-0.07612117	-0.068632929	101315.5415
0.602575312	-0.076629445	-0.073734424	101314.8385
0.587049384	-0.07710078	-0.078748596	101314.1475
0.571435412	-0.077532384	-0.083672465	101313.4689
0.555743497	-0.077921714	-0.08854804	101312.797
0.54000394	-0.078265723	-0.093371507	101312.1322
0.524216806	-0.078562032	-0.098087813	101311.4823
0.508412275	-0.078807629	-0.102696641	101310.8471
0.492590538	-0.078999999	-0.107219863	101310.2238
0.476781742	-0.079136202	-0.11160128	101309.6199
0.460996054	-0.079213584	-0.115840217	101309.0358
0.445243643	-0.079229432	-0.119914531	101308.4743
0.429554671	-0.079181088	-0.123778957	101307.9417
0.413929275	-0.07906591	-0.127462767	101307.434
0.398387645	-0.078881345	-0.130950988	101306.9533
0.3829499	-0.078625012	-0.134136794	101306.5143
0.367636209	-0.078294736	-0.136979239	101306.1225
0.352446674	-0.077887992	-0.139497422	101305.7755
0.337401455	-0.077402783	-0.141650036	101305.4789
0.322530643	-0.076837798	-0.143390962	101305.2389
0.30783435	-0.076190874	-0.144674959	101305.062
0.293322698	-0.07546024	-0.145437151	101304.9569
0.279025762	-0.074645434	-0.145611579	101304.9329
0.26495357	-0.07374532	-0.145123355	101305.0002
0.251106271	-0.072758178	-0.143984574	101305.1571
0.237513826	-0.071684613	-0.142182032	101305.4055
0.224186284	-0.070524223	-0.139610754	101305.7599
0.211133683	-0.069276799	-0.136171327	101306.2339
0.198375991	-0.067943423	-0.131740467	101306.8445
0.185913229	-0.066523396	-0.126269787	101307.5984
0.173765334	-0.065018416	-0.119711805	101308.5022
0.161942298	-0.063429425	-0.111901194	101309.5786
0.150463991	-0.061759093	-0.102693692	101310.8475
0.139340319	-0.06000918	-0.092026381	101312.3176
0.128571297	-0.058179972	-0.079780021	101314.0053
0.118166821	-0.056273368	-0.065724634	101315.9423
0.108156614	-0.05429556	-0.049606608	101318.1636
0.098530718	-0.052245453	-0.031273213	101320.6902
0.089308899	-0.050128037	-0.010575164	101323.5426
0.080500989	-0.04794672	0.01281372	101326.7659
0.072106936	-0.045702499	0.039324701	101330.4194
0.064146437	-0.043401785	0.069410307	101334.5656
0.056619422	-0.041045842	0.103592442	101339.2763
0.049535688	-0.038638829	0.142487399	101344.6365
0.042905004	-0.03618535	0.186843274	101350.7493
0.036727322	-0.033686438	0.237549357	101357.7373
0.031012402	-0.031146844	0.29559977	101365.7373
0.025769971	-0.028572053	0.362182691	101374.9133
0.020990261	-0.025957413	0.438495701	101385.4302
0.016702428	-0.023319742	0.52475695	101397.3181
0.012887045	-0.020647676	0.620889167	101410.5663
0.009563452	-0.01795428	0.72442466	101424.8348
0.006731586	-0.015240754	0.828456056	101439.1716
0.004391437	-0.012507296	0.922264764	101452.0996
0.002543104	-0.009752026	0.981981072	101460.3293
0.001195827	-0.006989681	0.976617074	101459.59
0.000340826	-0.004196749	0.877776685	101445.9686
-1.21E-05	-0.001376585	0.693558968	101420.5811
0	0	0.512282766	101395.599
0.000131897	0.001370305	0.325644595	101369.8779
0.000777639	0.004138132	0.020228687	101327.7878
0.001919897	0.006826393	-0.338958828	101278.2872
0.003548536	0.009432777	-0.625726602	101238.7671
0.005674749	0.011979749	-0.827631441	101210.942
0.008287802	0.014453621	-0.95967065	101192.7454
0.011387796	0.016856272	-1.036236239	101182.1937
0.014974718	0.019187503	-1.07394867	101176.9964
0.019048508	0.021446115	-1.086762558	101175.2305
0.023588563	0.023621136	-1.083533777	101175.6755
0.028615393	0.025721837	-1.069925083	101177.5509
0.034098245	0.027734539	-1.050632039	101180.2098
0.040047317	0.02966285	-1.028472692	101183.2636
0.046452365	0.031502329	-1.00478377	101186.5282
0.053303184	0.033249272	-0.980532241	101189.8704
0.060599714	0.034902647	-0.956315374	101193.2078
0.068331758	0.036458897	-0.93228477	101196.5195
0.076489139	0.037914909	-0.908618057	101199.7811
0.085071793	0.039269418	-0.885614511	101202.9513
0.094059462	0.040518108	-0.863272481	101206.0303
0.103452094	0.041659982	-0.84151591	101209.0286
0.113239552	0.042692679	-0.820282114	101211.9549
0.12340166	0.0436133	-0.799445087	101214.8265
0.133948433	0.044421896	-0.778977657	101217.6471
0.144849666	0.045115414	-0.75899757	101220.4006
0.156095317	0.045693001	-0.739444437	101223.0953
0.167685341	0.046154372	-0.720181713	101225.75
0.179609704	0.046498815	-0.701253655	101228.3585
0.191848365	0.04672575	-0.682643682	101230.9232
0.204391288	0.046835285	-0.664259814	101233.4567
0.217218468	0.046827814	-0.646079903	101235.9621
0.230329957	0.046704036	-0.628130266	101238.4358
0.243705783	0.046464962	-0.61042918	101240.8752
0.257335985	0.046111848	-0.592985249	101243.2792
0.271210611	0.045646146	-0.575774737	101245.651
0.285299802	0.045070384	-0.558753949	101247.9967
0.299603588	0.04438629	-0.541878512	101250.3224
0.314112117	0.043596041	-0.525169143	101252.6251
0.328795523	0.04270324	-0.508721685	101254.8918
0.343643929	0.041710707	-0.492500592	101257.1273
0.358657447	0.040620604	-0.476495731	101259.3329
0.373806288	0.039437381	-0.460770687	101261.5
0.389070612	0.038165131	-0.445238688	101263.6405
0.404450581	0.036806376	-0.429841368	101265.7625
0.419926365	0.035365388	-0.414681353	101267.8517
0.435478202	0.033846636	-0.39980469	101269.9019
0.451086283	0.032254771	-0.38514994	101271.9215
0.466750744	0.030592434	-0.370706404	101273.912
0.482441868	0.028865423	-0.356514349	101275.8679
0.498149824	0.027077497	-0.342575453	101277.7888
0.513864779	0.025232359	-0.328877519	101279.6766
0.52955706	0.023336084	-0.315394747	101281.5347
0.545226738	0.021391193	-0.302118124	101283.3643
0.560844113	0.019403837	-0.289108015	101285.1573
0.57640937	0.017376387	-0.276301356	101286.9222
0.591892692	0.015315044	-0.263635547	101288.6677
0.607284299	0.01322339	-0.251173748	101290.3851
0.622564452	0.011106306	-0.238906797	101292.0757
0.637723305	0.008967273	-0.226809621	101293.7428
0.652750951	0.006809691	-0.214852269	101295.3907
0.667627702	0.004638316	-0.202994644	101297.0248
0.682333756	0.002457932	-0.19125056	101298.6433
0.696859257	0.000271829	-0.179664221	101300.24
0.711194347	-0.00191677	-0.168177735	101301.823
0.725309331	-0.004101612	-0.15670291	101303.4044
0.739204356	-0.006281042	-0.145260482	101304.9813
0.752869439	-0.008451914	-0.133878734	101306.5498
0.766274949	-0.010607933	-0.122526025	101308.1144
0.779411083	-0.012745925	-0.111184588	101309.6774
0.792277863	-0.014864364	-0.099814797	101311.2443
0.804855483	-0.016958486	-0.088360632	101312.8228
0.81713414	-0.019025149	-0.076839791	101314.4105
0.829084155	-0.021057808	-0.065265676	101316.0056
0.840715488	-0.023056615	-0.053601369	101317.6131
0.852018277	-0.025018387	-0.041805113	101319.2387
0.862952976	-0.026934691	-0.029859513	101320.885
0.873539479	-0.02880744	-0.017732657	101322.5562
0.883758053	-0.030631611	-0.005377608	101324.2589
0.893588855	-0.032402069	0.00721316	101325.9941
0.903032025	-0.034117242	0.020048155	101327.7629
0.912077715	-0.035773755	0.033169519	101329.5712
0.920706201	-0.037366388	0.046647024	101331.4285
0.928927439	-0.038895389	0.060515342	101333.3398
0.936711778	-0.04035366	0.07479111	101335.3071
0.944069231	-0.041741504	0.089548814	101337.3409
0.950989946	-0.043055545	0.10487356	101339.4529
0.957464072	-0.044292422	0.120832415	101341.6522
0.963481817	-0.045448803	0.13751671	101343.9515
0.969043193	-0.046523292	0.155051089	101346.368
0.974128476	-0.047510733	0.173598259	101348.924
0.978757585	-0.048413737	0.193363579	101351.6479
0.982900801	-0.049225338	0.214633738	101354.5792
0.986577973	-0.049948344	0.237737859	101357.7632
0.989759495	-0.050575958	0.263330703	101361.2903
0.992465201	-0.051111225	0.291967602	101365.2368
0.994685206	-0.051551453	0.325877552	101369.91
0.996409617	-0.051894058	0.365362887	101375.3516
0.99763852	-0.052138566	0.410690691	101381.5983
0.998381797	-0.052286594	0.444702659	101386.2856
