l	m	C_(l,m)		S_(l,m)		C(l,m)		S(l,m)
0 0 1.000000 0.000000 1.000000 0.000000
1 0 0.003585 0.000000 0.006209 0.000000
1 1 0.002818 -0.002856 0.004881 -0.004947
2 0 -0.029243 0.000000 -0.065390 0.000000
2 1 0.000084 0.000072 0.000108 0.000093
2 2 0.015664 -0.000020 0.010111 -0.000013
3 0 -0.002222 0.000000 -0.005878 0.000000
3 1 -0.002450 0.001399 -0.002646 0.001511
3 2 0.004268 -0.000537 0.001458 -0.000183
3 3 0.000917 -0.006642 0.000128 -0.000926
4 0 0.002693 0.000000 0.008078 0.000000
4 1 -0.001469 0.000402 -0.001394 0.000382
4 2 -0.000920 -0.000555 -0.000206 -0.000124
4 3 0.001263 -0.001218 0.000076 -0.000073
4 4 -0.000032 0.000088 -0.000001 0.000002
5 0 -0.000498 0.000000 -0.001652 0.000000
5 1 -0.000424 -0.000324 -0.000363 -0.000277
5 2 -0.000482 -0.000010 -0.000078 -0.000002
5 3 0.000179 0.000823 0.000006 0.000027
5 4 0.000457 -0.000190 0.000004 -0.000001
5 5 -0.000444 -0.001082 -0.000001 -0.000003
6 0 -0.000348 0.000000 -001253 0.000000
6 1 0.000432 -0.000136 0.000340 -0.000107
6 2 0.000089 0.000267 0.000011 0.000033
6 3 -0.000377 0.000422 -0.000008 0.000009
6 4 -0.000028 0.000034 -0.000000 0.000000
6 5 0.000190 -0.000103 0.000000 -0.000000
6 6 -0.000996 -0.000126 -0.000000 -0.000000
7 0 0.000391 0.000000 0.001514 0.000000
7 1 0.000453 0.000057 0.000332 0.000042
7 2 -0.000063 0.000021 -0.000006 0.000002
7 3 -0.000087 -0.000082 -0.000001 -0.000001
7 4 -0.000091 0.000012 -0.000000 0.000000
7 5 0.000240 0.000374 0.000000 0.000000
7 6 -0.000089 -0.000170 -0.000000 -0.000000
7 7 -0.000590 0.000171 -0.000000 0.000000
8 0 0.000073 0.000000 0.000300 0.000000
8 1 -0.000010 -0.000016 -0.000007 -0.000011
8 2 -0.000095 -0.000150 -0.000008 -0.000012
8 3 0.000049 0.000011 0.000000 0.000000
8 4 0.000022 -0.000007 0.000000 -0.000000
8 5 -0.000029 0.000051 -0.000000 0.000000
8 6 0.000228 0.000023 0.000000 0.000000
8 7 0.000115 0.000040 0.000000 0.000000
8 8 -0.000272 0.000372 -0.000000 0.000000
9 0 -0.000200 0.000000 -0.000872 0.000000
9 1 -0.000156 -0.000024 -0.000102 -0.000016
9 2 0.000084 -0.000025 0.000006 -0.000002
9 3 0.000020 0.000041 0.000000 0.000000
9 4 0.000022 0.000016 0.000000 0.000000
9 5 -0.000034 -0.000092 -0.000000 -0.000000
9 6 0.000005 0.000006 0.000000 0.000000
9 7 0.000175 0.000050 0.000000 0.000000
9 8 -0.000039 -0.000018 -0.000000 -0.000000
9 9 -0.000054 0.000278 -0.000000 0.000000
10 0 -0.000019 0.000000 -0.000089 0.000000
10 1 -0.000008 0.000020 -0.000005 0.000012
10 2 0.000039 0.000064 0.000002 0.000004
10 3 -0.000006 -0.000057 -0.000000 -0.000000
10 4 -0.000034 -0.000010 -0.000000 -0.000000
10 5 0.000025 0.000008 0.000000 0.000000
10 6 -0.000061 -0.000048 -0.000000 -0.000000
10 7 -0.000033 0.000032 -0.000000 0.000000
10 8 0.000131 -0.000077 0.000000 -0.000000
10 9 -0.000009 0.000062 -0.000000 0.000000
10 10 0.000135 0.000207 0.000000 0.000000
